,CPI,Inflation_YoY,Unemployment_Rate,Employment_Rate,GDP_Ontario,GDP_Growth_YoY,Policy_Rate,Prime_Rate,Mortgage_5Y_Rate,Prime_Policy_Spread,Mortgage_Prime_Spread,USD_CAD,FX_Change_MoM,FX_Change_YoY,HPI,HPI_Change_MoM,HPI_Change_YoY,WTI_Price,WCS_Price,WCS_WTI_Spread,WTI_Change_YoY,Economic_Cycle_Score,Credit_Conditions,Housing_Risk_Score
2021-06-30,141.4,3.061224489795933,7.9,60.4,817265.5,6.1463720643892605,0.25,2.45,4.79,2.2,2.34,1.2218636363636364,0.7602089946881829,-9.827679323196037,696400.0,1.3387660069848595,25.545339823327918,71.38,58.46,-12.919999999999995,86.32210910989295,0.41983449324272265,3.3360000000000003,-9.75566991166396
2021-07-01,142.3,3.7172011661807725,7.4,60.7,817265.5,6.1463720643892605,0.25,2.45,4.79,2.2,2.34,1.2218636363636364,0.7602089946881829,-9.827679323196037,704400.0,1.148765077541647,24.10147991543341,72.49,58.46,-14.029999999999994,78.06435765168263,0.5484631611816824,3.3360000000000003,-9.133739957716704
2021-07-31,142.3,3.7172011661807725,7.4,60.7,817265.5,6.1463720643892605,0.25,2.45,4.79,2.2,2.34,1.2528809523809525,2.5385251753318627,-7.183690604070636,704400.0,1.148765077541647,24.10147991543341,72.49,58.46,-14.029999999999994,78.06435765168263,0.5484631611816824,3.3360000000000003,-9.133739957716704
2021-08-01,142.6,4.0875912408758985,7.1,60.8,817265.5,6.1463720643892605,0.25,2.45,4.79,2.2,2.34,1.2528809523809525,2.5385251753318627,-7.183690604070636,713900.0,1.348665530948323,23.043778007583594,67.73,54.47,-13.260000000000005,59.96693434104865,0.6256403619450583,3.3360000000000003,-8.664889003791798
2021-08-31,142.6,4.0875912408758985,7.1,60.8,817265.5,6.1463720643892605,0.25,2.45,4.79,2.2,2.34,1.2603190476190476,0.5936793295452159,-4.680511144712984,713900.0,1.348665530948323,23.043778007583594,67.73,54.47,-13.260000000000005,59.96693434104865,0.6256403619450583,3.3360000000000003,-8.664889003791798
2021-09-01,142.9,4.382761139517899,7.0,61.3,817265.5,6.1463720643892605,0.25,2.45,4.79,2.2,2.34,1.2603190476190476,0.5936793295452159,-4.680511144712984,727800.0,1.947051407760192,23.649337410805305,71.65,58.02,-13.630000000000003,80.79737572546051,0.6513660955328502,3.3360000000000003,-8.987668705402653
2021-09-30,142.9,4.382761139517899,7.0,61.3,817265.5,6.1463720643892605,0.25,2.45,4.79,2.2,2.34,1.267125,0.5400182115639751,-4.209564779149721,727800.0,1.947051407760192,23.649337410805305,71.65,58.02,-13.630000000000003,80.79737572546051,0.6513660955328502,3.3360000000000003,-8.987668705402653
2021-10-01,143.9,4.654545454545467,6.5,61.4,817265.5,6.1463720643892605,0.25,2.45,4.79,2.2,2.34,1.267125,0.5400182115639751,-4.209564779149721,744200.0,2.253366309425675,24.991602284178693,81.48,69.3,-12.180000000000007,106.80203045685279,0.77999476347181,3.3360000000000003,-9.758801142089347
2021-10-31,143.9,4.654545454545467,6.5,61.4,817265.5,6.1463720643892605,0.25,2.45,4.79,2.2,2.34,1.243685,-1.8498569596527625,-5.886349631903842,744200.0,2.253366309425675,24.991602284178693,81.48,69.3,-12.180000000000007,106.80203045685279,0.77999476347181,3.3360000000000003,-9.758801142089347
2021-11-01,144.2,4.720406681191003,6.1,61.8,817265.5,6.1463720643892605,0.25,2.45,4.79,2.2,2.34,1.243685,-1.8498569596527625,-5.886349631903842,761200.0,2.284332168771841,25.984773253889436,79.15,65.25,-13.900000000000006,93.33170493404985,0.8828976978229778,3.3360000000000003,-10.335386626944718
2021-11-30,144.2,4.720406681191003,6.1,61.8,817265.5,6.1463720643892605,0.25,2.45,4.79,2.2,2.34,1.2569809523809523,1.069077168330601,-3.8137652943058375,761200.0,2.284332168771841,25.984773253889436,79.15,65.25,-13.900000000000006,93.33170493404985,0.8828976978229778,3.3360000000000003,-10.335386626944718
2021-12-01,144.0,4.8034934497816595,5.9,61.9,817265.5,6.1463720643892605,0.25,2.45,4.79,2.2,2.34,1.2569809523809523,1.069077168330601,-3.8137652943058375,777000.0,2.075669994745133,26.588465298142715,71.71,53.1,-18.609999999999992,52.50957039557633,0.9343491649985615,3.3360000000000003,-10.677232649071358
2021-12-31,144.0,4.8034934497816595,5.9,61.9,817265.5,6.1463720643892605,0.25,2.45,4.79,2.2,2.34,1.2794142857142856,1.784699544638313,-0.10596292413056485,777000.0,2.075669994745133,26.588465298142715,71.71,53.1,-18.609999999999992,52.50957039557633,0.9343491649985615,3.3360000000000003,-10.677232649071358
2022-01-01,145.3,5.137481910274988,6.4,61.2,817265.5,6.1463720643892605,0.25,2.45,4.79,2.2,2.34,1.2794142857142856,1.784699544638313,-0.10596292413056485,812000.0,4.504504504504503,29.546904913848127,83.22,65.6,-17.620000000000005,60.03846153846153,0.8057204970596018,3.3360000000000003,-12.056452456924063
2022-01-31,145.3,5.137481910274988,6.4,61.2,850461.9,4.06188686540665,0.25,2.45,4.79,2.2,2.34,1.26155,-1.396286247055012,-0.8531088764976658,812000.0,4.504504504504503,29.546904913848127,83.22,65.6,-17.620000000000005,60.03846153846153,0.2722817485699183,3.3360000000000003,-12.056452456924063
2022-02-01,146.8,5.6875449964002955,5.5,62.1,850461.9,4.06188686540665,0.25,2.45,4.79,2.2,2.34,1.26155,-1.396286247055012,-0.8531088764976658,837400.0,3.1280788177339813,29.970510631693315,91.64,79.1,-12.540000000000006,55.21680216802167,0.5038133508600459,3.3360000000000003,-12.448255315846659
2022-02-28,146.8,5.6875449964002955,5.5,62.1,850461.9,4.06188686540665,0.25,2.45,4.79,2.2,2.34,1.2715842105263158,0.7953874619567758,0.13594558860710038,837400.0,3.1280788177339813,29.970510631693315,91.64,79.1,-12.540000000000006,55.21680216802167,0.5038133508600459,3.3360000000000003,-12.448255315846659
2022-03-01,148.9,6.6618911174785245,5.4,62.1,850461.9,4.06188686540665,0.25,2.45,4.79,2.2,2.34,1.2715842105263158,0.7953874619567758,0.13594558860710038,836100.0,-0.15524241700501928,26.05156037991858,108.5,94.57,-13.930000000000007,74.07347986523345,0.5295390844478377,3.3360000000000003,-10.50878018995929
2022-03-31,148.9,6.6618911174785245,5.4,62.1,850461.9,4.06188686540665,0.4782608695652174,2.65,4.79,2.1717391304347826,2.14,1.265786956521739,-0.45590798915136066,0.6690963913746906,836100.0,-0.15524241700501928,26.05156037991858,108.5,94.57,-13.930000000000007,74.07347986523345,0.5295390844478377,3.4103478260869564,-10.50878018995929
2022-04-01,149.8,6.77120456165361,5.4,62.2,850461.9,4.06188686540665,0.4782608695652174,2.65,4.79,2.1717391304347826,2.14,1.265786956521739,-0.45590798915136066,0.6690963913746906,819500.0,-1.9854084439660302,21.389423789068296,101.78,89.06,-12.719999999999999,64.90602721970188,0.5295390844478377,3.4103478260869564,-8.177711894534148
2022-04-30,149.8,6.77120456165361,5.4,62.2,850461.9,4.06188686540665,0.7857142857142857,2.95,4.890000000000001,2.1642857142857146,1.9400000000000004,1.2628,-0.23597624437108333,1.0571082335546045,819500.0,-1.9854084439660302,21.389423789068296,101.78,89.06,-12.719999999999999,64.90602721970188,0.5295390844478377,3.5688571428571434,-8.147711894534147
2022-05-01,151.9,7.730496453900715,5.2,62.3,850461.9,4.06188686540665,0.7857142857142857,2.95,4.890000000000001,2.1642857142857146,1.9400000000000004,1.2628,-0.23597624437108333,1.0571082335546045,802400.0,-2.08663819402074,16.763678696158312,109.55,96.6,-12.950000000000003,68.09881847475832,0.5809905516234217,3.5688571428571434,-5.874839348079155
2022-05-31,151.9,7.730496453900715,5.2,62.3,850461.9,4.06188686540665,1.0,3.2,5.09,2.2,1.8899999999999997,1.2852285714285714,1.776098465993936,5.985558133548685,802400.0,-2.08663819402074,16.763678696158312,109.55,96.6,-12.950000000000003,68.09881847475832,0.5809905516234217,3.7560000000000002,-5.814839348079156
2022-06-01,152.9,8.13295615275813,4.9,62.1,850461.9,4.06188686540665,1.0,3.2,5.09,2.2,1.8899999999999997,1.2852285714285714,1.776098465993936,5.985558133548685,782200.0,-2.517447657028915,12.320505456634123,114.84,101.17,-13.670000000000002,60.885402073409935,0.6581677523867975,3.7560000000000002,-3.6532527283170615
2022-06-30,152.9,8.13295615275813,4.9,62.1,850461.9,4.06188686540665,1.4772727272727273,3.6,5.7,2.122727272727273,2.1,1.2813636363636365,-0.3007196658131317,4.869610505561561,782200.0,-2.517447657028915,12.320505456634123,114.84,101.17,-13.670000000000002,60.885402073409935,0.6581677523867975,4.144545454545455,-3.4702527283170617
