"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"SERIES"
"id","label","description"
"V80691311","Prime rate",""

"OBSERVATIONS"
"date","V80691311"
"2024-07-31","6.70"
"2024-08-07","6.70"
"2024-08-14","6.70"
"2024-08-21","6.70"
"2024-08-28","6.70"
"2024-09-04","6.70"
"2024-09-11","6.45"
"2024-09-18","6.45"
"2024-09-25","6.45"
"2024-10-02","6.45"
"2024-10-09","6.45"
"2024-10-16","6.45"
"2024-10-23","6.45"
"2024-10-30","5.95"
"2024-11-06","5.95"
"2024-11-13","5.95"
"2024-11-20","5.95"
"2024-11-27","5.95"
"2024-12-04","5.95"
"2024-12-11","5.95"
"2024-12-18","5.45"
"2024-12-25","5.45"
